Expected: I, returned: I, Correct: True
Expected: II, returned: II, Correct: True
Expected: IV, returned: IV, Correct: True
Expected: I, returned: I, Correct: True
Expected: II, returned: II, Correct: True
Expected: Dim, returned: VI, Correct: False
Expected: I, returned: I, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: Dim, returned: II, Correct: False
Expected: I+, returned: I+, Correct: True
Expected: II, returned: DimVII, Correct: False
Expected: I, returned: I, Correct: True
Expected: II, returned: II, Correct: True
Expected: IV, returned: IV, Correct: True
Expected: I+, returned: I+, Correct: True
Expected: bII, returned: bII, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: I+, returned: I+, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: I+, returned: I+, Correct: True
Expected: V+, returned: I, Correct: False
Expected: V, returned: V+, Correct: False
Expected: IV+, returned: IV+, Correct: True
Expected: IV, returned: IV, Correct: True
Expected: I+, returned: I+, Correct: True
Expected: I, returned: I, Correct: True
Expected: V, returned: V, Correct: True
Expected: I, returned: I, Correct: True
Expected: V, returned: V, Correct: True
Expected: IV, returned: IV, Correct: True
Expected: I, returned: I, Correct: True
Expected: V, returned: V, Correct: True
Expected: I, returned: I, Correct: True
Expected: VI, returned: VI, Correct: True
Expected: II, returned: II, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: IV, returned: IV, Correct: True
Expected: Dim7, returned: DimVII7, Correct: True
Expected: I, returned: I, Correct: True
Expected: Dim7, returned: DimVII7, Correct: True
Expected: IV, returned: VI, Correct: False
Expected: VI, returned: I, Correct: False
Expected: II, returned: II, Correct: True
Expected: V+7, returned: V+7, Correct: True
Expected: VI, returned: VI, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: Dim7, returned: DimVII7, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: I, returned: I, Correct: True
Expected: II, returned: II, Correct: True
Expected: IV, returned: IV, Correct: True
Expected: I, returned: I, Correct: True
Expected: II, returned: II, Correct: True
Expected: I, returned: I, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: Dim, returned: II, Correct: False
Expected: I+, returned: I+, Correct: True
Expected: Dim7, returned: DimVII7, Correct: True
Expected: I, returned: I, Correct: True
Expected: II, returned: II, Correct: True
Expected: I, returned: I+, Correct: False
Expected: bII, returned: bII, Correct: True
Expected: Dim7, returned: DimVII7, Correct: True
Expected: GermanVI, returned: GerVI, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: II, returned: DimVII, Correct: False
Expected: I, returned: I, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: I, returned: I, Correct: True
Expected: II, returned: II, Correct: True
Expected: I, returned: I, Correct: True
Expected: VI, returned: VI, Correct: True
Expected: V+7, returned: V+7, Correct: True
Expected: I+, returned: I+, Correct: True
Expected: V+, returned: V+, Correct: True
Expected: I, returned: I+, Correct: False
Expected: V+, returned: V+, Correct: True
Expected: IV+, returned: I, Correct: False
Expected: V+, returned: V+, Correct: True
Expected: IV+, returned: IV+, Correct: True
Expected: IV, returned: IV, Correct: True
Expected: II, returned: II, Correct: True
Expected: IV, returned: IV, Correct: True
Expected: II, returned: II, Correct: True
Expected: I+, returned: I+, Correct: True
Etude_in_C_Minor.mxl Accuracy:  85.88 %
Expected: I, returned: I, Correct: True
Expected: V, returned: V, Correct: True
Expected: I, returned: VI, Correct: False
Expected: V, returned: V, Correct: True
Expected: I, returned: I, Correct: True
Expected: V, returned: V, Correct: True
Expected: I, returned: VI, Correct: False
Expected: V, returned: V, Correct: True
Expected: I, returned: I, Correct: True
Expected: V, returned: V, Correct: True
Expected: I, returned: VI, Correct: False
Expected: V, returned: V, Correct: True
Expected: I, returned: I, Correct: True
Expected: V, returned: V, Correct: True
Expected: I, returned: I, Correct: True
Expected: V, returned: V, Correct: True
Expected: II, returned: II, Correct: True
Expected: V, returned: V, Correct: True
Expected: I, returned: I, Correct: True
Expected: II, returned: II, Correct: True
Expected: V, returned: V, Correct: True
Expected: I, returned: I, Correct: True
Expected: VI, returned: VI, Correct: True
